protocolType,procedureType,messageType,messageName
100,0,0,UE Start
100,0,1,UE End
100,0,2,UE Abandon Signal Start
100,0,3,UE Abandon Signal End
100,0,4,UE Middle Report Start
100,6,60,UE RLC Volume Info
100,11,110,UE LLC Volume Info
100,11,111,UE End
101,0,1,ACTIVE SET UPDATE
101,0,2,ASSISTANCE DATA DELIVERY
101,0,3,CELL CHANGE ORDER FROM UTRAN
101,0,4,CELL UPDATE CONFIRM
101,0,5,COUNTER CHECK
101,0,6,DOWNLINK DIRECT TRANSFER
101,0,7,HANDOVER FROM UTRAN COMMAND
101,0,9,MEASUREMENT CONTROL
101,0,10,PAGING TYPE 2
101,0,11,PHYSICAL CHANNEL RECONFIGURATION
101,0,13,RADIO BEARER RECONFIGURATION
101,0,14,RADIO BEARER RELEASE
101,0,15,RADIO BEARER SETUP
101,0,16,RRC CONNECTION RELEASE
101,0,17,SECURITY MODE COMMAND
101,0,18,SIGNALLING CONNECTION RELEASE
101,0,19,TRANSPORT CHANNEL RECONFIGURATION
101,0,20,TRANSPORT FORMAT COMBINATION CONTROL
101,0,21,UE CAPABILITY ENQUIRY
101,0,22,UE CAPABILITY INFORMATION CONFIRM
101,0,24,URA UPDATE CONFIRM
101,0,25,UTRAN MOBILITY INFORMATION
101,0,28,ETWS PRIMARY NOTIFICATION WITH SECURITY
101,0,29,HADOWER FROM UTRAN COMMAND EUTRA
101,1,1,CELL UPDATE CONFIRM
101,1,2,RRC CONNECTION REJECT
101,1,3,RRC CONNECTION RELEASE
101,1,4,RRC CONNECTION SETUP
101,1,5,URA UPDATE CONFIRM 
101,2,1,ACTIVE SET UPDATE COMPLETE
101,2,2,ACTIVE SET UPDATE FAILURE
101,2,3,CHANGE ORDER FROM UTRAN FAILURE
101,2,4,COUNTER CHECK RESPONSE
101,2,5,HANDOVER TO UTRAN COMPLETE
101,2,6,INITIAL DIRECT TRANSFER
101,2,7,HANDOVER FROM UTRAN FAILURE
101,2,8,MEASUREMENT CONTROL FAILURE
101,2,9,MEASUREMENT REPORT
101,2,10,PHYSICAL CHANNEL RECONFIGURATION COMPLETE
101,2,11,PHYSICAL CHANNEL RECONFIGURATION FAILURE
101,2,12,RADIO BEARER RECONFIGURATION COMPLETE
101,2,13,RADIO BEARER RECONFIGURATION FAILURE
101,2,14,RADIO BEARER RELEASE COMPLETE
101,2,15,RADIO BEARER RELEASE FAILURE
101,2,16,RADIO BEARER SETUP COMPLETE
101,2,17,RADIO BEARER SETUP FAILURE
101,2,18,RRC CONNECTION RELEASE COMPLETE
101,2,19,RRC CONNECTION SETUP COMPLETE
101,2,20,RRC STATUS
101,2,21,SECURITY MODE COMPLETE
101,2,22,SECURITY MODE FAILURE
101,2,23,SIGNALLING CONNECTION RELEASE INDICATION
101,2,24,TRANSPORT CHANNEL RECONFIGURATION COMPLETE
101,2,25,TRANSPORT CHANNEL RECONFIGURATION FAILURE
101,2,26,RTRANSPORT FORMAT COMBINATION CONTROL FAILURE
101,2,27,UE CAPABILITY INFORMATION
101,2,28,UPLINK DIRECT TRANSFER
101,2,29,UTRAN MOBILITY INFORMATION CONFIRM
101,2,30,UTRAN MOBILITY INFORMATION FAILURE
101,3,1,CELL UPDATE
101,3,2,RRC CONNECTION REQUEST
101,3,3,URA UPDATE
101,4,2,SYSTEM INFORMATION CHANGE INDICATION
101,5,1,PAGING TYPE 1
102,14,1,COMPRESSED MODE COMMAND
102,16,1,DEDICATED MEASUREMENT FAILURE INDICATION
102,17,1,DEDICATED MEASUREMENT INITIATION REQUEST
102,17,2,DEDICATED MEASUREMENT INITIATION RESPONSE
102,17,3,DEDICATED MEASUREMENT INITIATION FAILURE
102,18,1,DEDICATED MEASUREMENT REPORT
102,19,1,DEDICATED MEASUREMENT TERMINATION REQUEST
102,20,1,DOWNLINK POWER CONTROL REQUEST
102,21,1,ERROR INDICATION
102,23,1,RADIO LINK ADDITION REQUEST
102,23,2,RADIO LINK ADDITION RESPONSE
102,23,3,RADIO LINK ADDITION FAILURE
102,24,1,RADIO LINK DELETION REQUEST
102,24,2,RADIO LINK DELETION RESPONSE
102,25,1,RADIO LINK FAILURE INDICATION
102,26,1,RADIO LINK RESTORE INDICATION
102,27,1,RADIO LINK SETUP REQUEST
102,27,2,RADIO LINK SETUP RESPONSE
102,27,3,RADIO LINK SETUP FAILURE
102,29,1,RADIO LINK RECONFIGURATION CANCEL
102,30,1,RADIO LINK RECONFIGURATION COMMIT
102,31,1,RADIO LINK RECONFIGURATION PREPARE
102,31,2,RADIO LINK RECONFIGURATION READY
102,31,3,RADIO LINK RECONFIGURATION FAILURE
102,34,1,RADIO LINK RECONFIGURATION REQUEST
102,34,2,RADIO LINK RECONFIGURATION RESPONSE
102,34,3,RADIO LINK RECONFIGURATION FAILURE
102,37,1,PHYSICAL SHARED CHANNEL RECONFIGURATION REQUEST
102,37,2,PHYSICAL SHARED CHANNEL RECONFIGURATION REQUEST RESPONSE
102,37,3,PHYSICAL SHARED CHANNEL RECONFIGURATION REQUEST FAILURE
102,39,1,RADIO LINK PREEMPTION REQUIRED INDICATION
102,51,1,RADIO LINK ACTIVATION COMMAND
102,52,1,RADIO LINK PARAMETER UPDATE INDICATION
103,0,1,RAB ASSIGNMENT REQUEST
103,0,4,RAB ASSIGNMENT RESPONSE
103,1,1,IU RELEASE COMMAND
103,1,2,IU RELEASE COMPLETE
103,2,1,RELOCATION REQUIRED
103,2,2,RELOCATION COMMAND
103,2,3,RELOCATION PREPARATION FAILURE
103,3,1,RELOCATION REQUEST
103,3,2,RELOCATION REQUEST ACKNOWLEDGE
103,3,3,RELOCATION FAILURE
103,4,1,RELOCATION CANCEL
103,4,2,RELOCATION CANCEL ACKNOWLEDGE
103,5,1,SRNS CONTEXT REQUEST
103,5,2,SRNS CONTEXT RESPONSE
103,6,1,SECURITY MODE COMMAND
103,6,2,SECURITY MODE COMPLETE
103,6,3,SECURITY MODE REJECT
103,10,1,RAB RELEASE REQUEST
103,11,1,IU RELEASE REQUEST
103,12,1,RELOCATION DECTECT
103,13,1,RELOCATION COMPLETE
103,14,1,PAGING
103,15,1,COMMON ID
103,16,1,CN INVOKE TRACE
103,17,1,LOCATION REPORTING CONTROL
103,18,1,LOCATION REPORT
103,19,1,INITIAL UE MESSAGE
103,20,1,DIRECT TRANSFER
103,22,1,ERROR INDICATION
103,23,1,SRNS DATA FORWARD COMMAND
103,24,1,FORWARD SRNS CONTEXT
103,26,1,CN DEACTIVE TRACE
103,29,1,RAB MODIFY REQUEST
103,30,1,LOCATION REPORTING RELATED DATA RESPONSE
103,30,2,LOCATION REPORTING RELATED DATA FAIL
103,30,3,LOCATION REPORTING RELATED DATA REQUEST
104,2,1,COMPRESSED MODE COMMAND
104,3,1,DOWNLINK POWER CONTROL REQUEST
104,5,1,DOWNLINK SIGNALLING TRANSFER REQUEST
104,6,1,ERROR INDICATION
104,7,1,DEDICATED MEASUREMENT FAILURE INDICATION
104,8,1,DEDICATED MEASUREMENT INITIATION REQUEST
104,8,2,DEDICATED MEASUREMENT INITIATION RESPONSE
104,8,3,DEDICATED MEASUREMENT INITIATION FAILURE
104,9,1,DEDICATED MEASUREMENT REPORT
104,10,1,DEDICATED MEASUREMENT TERMINATION REQUEST
104,11,1,PAGING REQUEST
104,12,1,PHYSICAL CHANNEL RECONFIGURATION REQUEST
104,12,2,PHYSICAL CHANNEL RECONFIGURATION COMMAND
104,12,3,PHYSICAL CHANNEL RECONFIGURATION FAILURE
104,14,1,RADIO LINK ADDITION REQUEST
104,14,2,RADIO LINK ADDITION RESPONSE
104,14,3,RADIO LINK ADDITION FAILURE
104,15,1,RADIO LINK DELETE REQUEST
104,15,2,RADIO LINK DELETE RESPONSE
104,16,1,RADIO LINK FAILURE INDICATION
104,17,1,RADIO LINK PREEMPTION REQUIRED INDICATION
104,18,1,RADIO LINK RESTORE INDICATION
104,19,1,RADIO LINK SETUP REQUEST
104,19,2,RADIO LINK SETUP RESPONSE
104,19,3,RADIO LINK SETUP FAILURE
104,20,1,RELOCATION COMMIT
104,22,1,RADIO LINK RECONFIGURATION COMMIT
104,21,1,RADIO LINK RECONFIGURATION CANCEL
104,23,1,RADIO LINK RECONFIGURATION PREPARE
104,23,2,RADIO LINK RECONFIGURATION READY
104,23,3,RADIO LINK RECONFIGURATION FAILURE
104,24,1,RADIO LINK RECONFIGURATION REQUEST
104,24,2,RADIO LINK RECONFIGURATION RESPONSE
104,24,3,RADIO LINK RECONFIGURATION FAILURE
104,25,1,UPLINK SIGNALLING TRANSFER INDICATION
104,38,1,RADIO LINK PARAMETER UPDATE INDICATION
104,48,1,DIRECT INFORMATION TRANSFER
151,1,13,Channel Release
151,1,16,Channel Mode Modification
151,1,19,Classmark Enquiry
151,1,21,Measurement Report
151,1,22,Classmark Change
151,1,23,Channel Mode Modification ACK
151,1,39,Paging Response
151,1,40,Handover Failure
151,1,41,Assignment Completed
151,1,43,Handover Command
151,1,44,Handover Completed
151,1,46,Assignment Command
151,1,47,Assignment Failure
151,1,50,Encryption Completed
151,1,52,PS Suspend Request
151,1,53,Encryption Mode
151,1,58,IMMEDIATE ASSIGNMENT Reject
151,1,63,IMMEDIATE ASSIGNMENT
151,1,72,DTM Assignment Failure
151,1,73,DTM Reject
151,1,74,DTM Request
151,1,75,Packet Assignment
151,1,76,DTM Assignment Command
151,1,96,UTRAN Classmark Change
151,2,0,Cell Change Failure
151,2,1,Packet Control Acknowledgement
151,2,2,Packet Downlink Ack/Nack
151,2,3,Packet Uplink Dummy Control Block
151,2,4,Packet Measurement Report
151,2,5,Packet Resource Request
151,2,6,Mobile TBF Status
151,2,7,Packet PSI Status
151,2,8,EGPRS Packet Downlink Ack/Nack
151,2,11,Additional MS Radio Access Capabilities
151,2,12,Packet Cell Change Notification
151,2,13,Packet SI Status
151,3,1,Packet Cell Change Order
151,3,2,Packet Downlink Assignment
151,3,3,Packet Measurement Order
151,3,4,Packet Polling Request
151,3,5,Packet Power Control/Timing Advance
151,3,7,Packet Timeslot Reconfigure
151,3,8,Packet TBF Release
151,3,9,Packet Uplink Ack/Nack
151,3,10,Packet Uplink Assignment
151,3,11,Packet Cell Change Continue
151,3,12,Packet Neighbour Cell Data
151,3,13,Packet Serving Cell Data
151,3,34,Paging Request
151,3,37,DownLink Dummy Control Block
151,4,0,I Format
151,4,1,Attach Request
151,4,2,Attach Accept
151,4,3,Attach Complete
151,4,4,Attach Reject
151,4,5,Detach request
151,4,6,Detach Accept
151,4,7,UI Format
151,4,8,Routing area update request
151,4,9,Routing area update accept
151,4,10,Routing area update complete
151,4,11,Routing area update reject
151,4,12,Service Request
151,4,13,Service Accept
151,4,14,Service Reject
151,4,15,UI Format
151,4,16,P-TMSI reallocation command
151,4,17,P-TMSI reallocation complete
151,4,18,Authentication and ciphering request
151,4,19,Authentication and ciphering response
151,4,20,Authentication and ciphering reject
151,4,21,Identity request
151,4,22,Identity response
151,4,23,UI Format
151,4,24,UI Format
151,4,25,UI Format
151,4,26,UI Format
151,4,27,UI Format
151,4,28,Authentication and ciphering failure
151,4,29,UI Format
151,4,30,UI Format
151,4,31,UI Format
151,4,32,GMM status
151,4,33,GMM information
151,4,34,UI Format
151,4,35,UI Format
151,4,36,UI Format
151,4,37,UI Format
151,4,38,UI Format
151,4,39,UI Format
151,4,40,UI Format
151,4,41,UI Format
151,4,42,UI Format
151,4,43,UI Format
151,4,44,UI Format
151,4,45,UI Format
151,4,46,UI Format
151,4,47,UI Format
151,4,48,UI Format
151,4,49,UI Format
151,4,50,UI Format
151,4,51,UI Format
151,4,52,UI Format
151,4,53,UI Format
151,4,54,UI Format
151,4,55,UI Format
151,4,56,UI Format
151,4,57,UI Format
151,4,58,UI Format
151,4,59,UI Format
151,4,60,UI Format
151,4,61,UI Format
151,4,62,UI Format
151,4,63,UI Format
151,4,64,UI Format
151,4,65,Activate PDP context request
151,4,66,Activate PDP context accept
151,4,67,Activate PDP context reject
151,4,68,Request PDP context activation
151,4,69,Request PDP context activation reject
151,4,70,Deactivate PDP context request
151,4,71,Deactivate PDP context accept
151,4,72,Modify PDP context request(Network to MS direction)
151,4,73,Modify PDP context accept(MS to network direction)
151,4,74,Modify PDP context request (MS to network direction)
151,4,75,Modify PDP context accept (Network to MS direction)
151,4,76,Modify PDP context reject
151,4,77,Activate secondary PDP context request
151,4,78,Activate secondary PDP context accept
151,4,79,Activate secondary PDP context reject
151,4,80,Activate AA PDP context request
151,4,81,Activate AA PDP context accept
151,4,82,Activate AA PDP context reject
151,4,83,Deactivate AA PDP context request
151,4,84,Deactivate AA PDP context accept
151,4,85,SM Status
151,4,86,UI Format
151,4,87,UI Format
151,4,88,UI Format
151,4,89,UI Format
151,4,90,UI Format
151,4,91,UI Format
151,4,92,UI Format
151,4,93,UI Format
151,4,94,UI Format
151,4,95,UI Format
151,4,96,UI Format
151,4,97,UI Format
151,4,98,UI Format
151,4,99,UI Format
151,4,100,UI Format
151,4,101,UI Format
151,4,102,UI Format
151,4,103,UI Format
151,4,104,UI Format
151,4,105,UI Format
151,4,106,UI Format
151,4,107,XID
151,4,108,UI Format
151,4,109,UI Format
151,4,110,UI Format
151,4,111,UI Format
151,4,112,UI Format
151,4,113,UI Format
151,4,114,UI Format
151,4,115,UI Format
151,4,116,UI Format
151,4,117,UI Format
151,4,118,U Format/UI Format
151,4,119,UI Format
151,4,120,UI Format
151,4,121,UI Format
151,4,122,UI Format
151,4,123,UI Format
151,4,124,UI Format
151,4,125,UI Format
151,4,126,UI Format
151,4,127,UI Format
151,4,128,UI Format/S Format
151,4,129,UI Format
151,4,130,UI Format
151,4,131,UI Format
151,4,132,GPRS Mobile Session
151,4,133,UI Format
151,4,134,UI Format
151,4,135,UI Format
151,4,136,UI Format
151,4,137,UI Format
151,4,138,UI Format
151,4,139,UI Format
151,4,140,UI Format
151,4,141,UI Format
151,4,142,UI Format/I Format
151,4,143,UI Format
151,4,144,UI Format
151,4,145,UI Format
151,4,146,UI Format
151,4,147,UI Format
151,4,148,UI Format/I Format
151,4,149,UI Format
151,4,150,UI Format
151,4,151,UI Format
151,4,152,UI Format
151,4,153,UI Format
151,4,154,UI Format
151,4,155,UI Format
151,4,156,UI Format
151,4,157,UI Format
151,4,158,UI Format
151,4,159,UI Format
151,4,160,UI Format
151,4,161,UI Format
151,4,162,UI Format
151,4,163,UI Format
151,4,164,UI Format
151,4,165,UI Format
151,4,166,UI Format
151,4,167,UI Format
151,4,168,UI Format
151,4,169,UI Format
151,4,170,UI Format
151,4,171,UI Format
151,4,172,UI Format
151,4,173,UI Format
151,4,174,UI Format
151,4,175,UI Format
151,4,176,UI Format
151,4,177,UI Format
151,4,178,UI Format
151,4,179,UI Format
151,4,180,UI Format
151,4,181,UI Format
151,4,182,UI Format
151,4,183,UI Format
151,4,184,UI Format
151,4,185,UI Format
151,4,186,UI Format
151,4,187,UI Format
151,4,188,UI Format
151,4,189,UI Format
151,4,190,UI Format
151,4,191,UI Format
151,4,192,UI Format
151,4,193,UI Format
151,4,194,UI Format
151,4,195,UI Format
151,4,196,UI Format
151,4,197,UI Format
151,4,198,UI Format
151,4,199,UI Format
151,4,200,UI Format
151,4,201,UI Format
151,4,202,UI Format/I Format
151,4,203,UI Format
151,4,204,UI Format
151,4,205,UI Format
151,4,206,UI Format
151,4,207,UI Format
151,4,208,UI Format
151,4,209,UI Format
151,4,210,UI Format
151,4,211,UI Format
151,4,212,UI Format
151,4,213,UI Format
151,4,214,UI Format
151,4,215,UI Format
151,4,216,UI Format
151,4,217,UI Format
151,4,218,UI Format
151,4,219,UI Format
151,4,220,UI Format
151,4,221,UI Format
151,4,222,UI Format
151,4,223,UI Format
151,4,224,UI Format/U Format
151,4,225,UI Format
151,4,226,UI Format
151,4,227,UI Format
151,4,228,UI Format
151,4,229,UI Format
151,4,230,UI Format
151,4,231,UI Format
151,4,232,UI Format
151,4,233,UI Format
151,4,234,UI Format
151,4,235,UI Format
151,4,236,UI Format
151,4,237,UI Format
151,4,238,UI Format
151,4,239,UI Format
151,4,240,UI Format
151,4,241,UI Format
151,4,242,UI Format
151,4,243,UI Format
151,4,244,UI Format
151,4,245,UI Format
151,4,246,UI Format
151,4,247,UI Format
151,4,248,UI Format
151,4,249,UI Format
151,4,250,UI Format
151,4,251,UI Format
151,4,252,UI Format
151,4,253,UI Format
151,4,254,UI Format
151,4,255,UI Format
152,1,1,Data Request
152,1,2,Data Indication
152,1,3,Error Indication
152,1,4,Establish Request
152,1,5,Establish Confirmation
152,1,6,Establish Indication
152,1,8,Release Confirm
152,1,9,Release Indication
152,1,19,Channel Required
152,1,21,Paging Command
152,1,22,Immediate Assignment Command
152,1,28,Error Report
152,1,33,Channel Activation
152,1,34,Channel Activation ACK
152,1,35,Channel Activation NACK
152,1,36,Connection Failure
152,1,37,Deactivate SACCH
152,1,38,Encryption Command
152,1,39,Handover Detection
152,1,40,Measurement Result
152,1,41,Mode Modification Request
152,1,42,Mode Modification ACK
152,1,43,Mode Modify Negative Acknowledge
152,1,44,Physical Context Request
152,1,45,Physical Context Confirmation
152,1,46,RF Channel Release
152,1,50,Preprocess Measurement Report
152,1,51,RF Channel Release Acknowledge
152,1,52,SACCH Info Change
152,1,55,Enhanced Preprocess Measurement Report
152,2,19,CCCH Channel required
152,2,22,Packet Immediate Assignment Command
152,2,84,PS Channel Active NACK
153,255,112,Internal Handover Request
153,255,113,Internal Handover Request Reject
153,255,114,Internal Handover Command
153,255,115,Internal Handover Enquiry
153,255,0,DTAP message
153,255,1,Assignment Request
153,255,2,Assignment Completed
153,255,3,Assignment Failure
153,255,16,Handover Request
153,255,17,Handover Required
153,255,18,Handover Request Acknowledge
153,255,19,Handover Command
153,255,20,Handover Completed
153,255,21,Handover Successful
153,255,22,Handover Failure
153,255,23,Handover Performed
153,255,26,Handover Request Refused
153,255,27,Handover Detect
153,255,32,Clear Command
153,255,33,Clear Completed
153,255,34,Clear Request
153,255,37,SAPI "N" Refused
153,255,47,Common ID
153,255,54,MSC Invoke Trace
153,255,83,Cipher Mode Command
153,255,84,ClassMark Update
153,255,85,Cipher Mode Complete
153,255,86,Queuing Indication
153,255,87,Complete Layer 3 Information
153,255,88,ClassMark Request
153,255,89,Cipher Mode Reject
